Race,Age.Group,Year.of.diagnosis,Sex,Count
0,0,0,0,546
0,0,0,1,255
0,0,0,2,291
0,0,1,0,6
0,0,1,1,3
0,0,1,2,3
0,0,2,0,9
0,0,2,1,5
0,0,2,2,4
0,0,3,0,5
0,0,3,1,3
0,0,3,2,2
0,0,4,0,13
0,0,4,1,8
0,0,4,2,5
0,0,5,0,7
0,0,5,1,2
0,0,5,2,5
0,0,6,0,10
0,0,6,1,2
0,0,6,2,8
0,0,7,0,10
0,0,7,1,4
0,0,7,2,6
0,0,8,0,8
0,0,8,1,3
0,0,8,2,5
0,0,9,0,14
0,0,9,1,7
0,0,9,2,7
0,0,10,0,6
0,0,10,1,0
0,0,10,2,6
0,0,11,0,9
0,0,11,1,5
0,0,11,2,4
0,0,12,0,12
0,0,12,1,6
0,0,12,2,6
0,0,13,0,10
0,0,13,1,4
0,0,13,2,6
0,0,14,0,11
0,0,14,1,2
0,0,14,2,9
0,0,15,0,11
0,0,15,1,3
0,0,15,2,8
0,0,16,0,6
0,0,16,1,2
0,0,16,2,4
0,0,17,0,10
0,0,17,1,2
0,0,17,2,8
0,0,18,0,8
0,0,18,1,4
0,0,18,2,4
0,0,19,0,12
0,0,19,1,5
0,0,19,2,7
0,0,20,0,15
0,0,20,1,10
0,0,20,2,5
0,0,21,0,10
0,0,21,1,2
0,0,21,2,8
0,0,22,0,10
0,0,22,1,7
0,0,22,2,3
0,0,23,0,8
0,0,23,1,5
0,0,23,2,3
0,0,24,0,14
0,0,24,1,7
0,0,24,2,7
0,0,25,0,9
0,0,25,1,4
0,0,25,2,5
0,0,26,0,19
0,0,26,1,6
0,0,26,2,13
0,0,27,0,10
0,0,27,1,3
0,0,27,2,7
0,0,28,0,12
0,0,28,1,6
0,0,28,2,6
0,0,29,0,11
0,0,29,1,5
0,0,29,2,6
0,0,30,0,13
0,0,30,1,7
0,0,30,2,6
0,0,31,0,28
0,0,31,1,9
0,0,31,2,19
0,0,32,0,17
0,0,32,1,9
0,0,32,2,8
0,0,33,0,12
0,0,33,1,7
0,0,33,2,5
0,0,34,0,16
0,0,34,1,11
0,0,34,2,5
0,0,35,0,14
0,0,35,1,7
0,0,35,2,7
0,0,36,0,19
0,0,36,1,9
0,0,36,2,10
0,0,37,0,8
0,0,37,1,4
0,0,37,2,4
0,0,38,0,25
0,0,38,1,16
0,0,38,2,9
0,0,39,0,18
0,0,39,1,9
0,0,39,2,9
0,0,40,0,9
0,0,40,1,6
0,0,40,2,3
0,0,41,0,18
0,0,41,1,10
0,0,41,2,8
0,0,42,0,15
0,0,42,1,9
0,0,42,2,6
0,0,43,0,16
0,0,43,1,5
0,0,43,2,11
0,0,44,0,16
0,0,44,1,10
0,0,44,2,6
0,0,45,0,7
0,0,45,1,2
0,0,45,2,5
0,1,0,0,4517
0,1,0,1,2464
0,1,0,2,2053
0,1,1,0,70
0,1,1,1,46
0,1,1,2,24
0,1,2,0,67
0,1,2,1,37
0,1,2,2,30
0,1,3,0,75
0,1,3,1,42
0,1,3,2,33
0,1,4,0,69
0,1,4,1,37
0,1,4,2,32
0,1,5,0,61
0,1,5,1,32
0,1,5,2,29
0,1,6,0,85
0,1,6,1,50
0,1,6,2,35
0,1,7,0,70
0,1,7,1,34
0,1,7,2,36
0,1,8,0,61
0,1,8,1,36
0,1,8,2,25
0,1,9,0,76
0,1,9,1,41
0,1,9,2,35
0,1,10,0,87
0,1,10,1,34
0,1,10,2,53
0,1,11,0,94
0,1,11,1,57
0,1,11,2,37
0,1,12,0,88
0,1,12,1,51
0,1,12,2,37
0,1,13,0,89
0,1,13,1,48
0,1,13,2,41
0,1,14,0,93
0,1,14,1,52
0,1,14,2,41
0,1,15,0,101
0,1,15,1,59
0,1,15,2,42
0,1,16,0,99
0,1,16,1,49
0,1,16,2,50
0,1,17,0,102
0,1,17,1,57
0,1,17,2,45
0,1,18,0,85
0,1,18,1,52
0,1,18,2,33
0,1,19,0,98
0,1,19,1,48
0,1,19,2,50
0,1,20,0,94
0,1,20,1,56
