"Race","Age.Group","Year.of.diagnosis","Sex","Count"
"All","00 years","1975-2019","Male and female",546
"All","00 years","1975-2019","Male",255
"All","00 years","1975-2019","Female",291
"All","00 years","1975-1977","Male and female",6
"All","00 years","1975-1977","Male",3
"All","00 years","1975-1977","Female",3
"All","00 years","1975-1977","Male and female",9
"All","00 years","1975-1977","Male",5
"All","00 years","1975-1977","Female",4
"All","00 years","1975-1977","Male and female",5
"All","00 years","1975-1977","Male",3
"All","00 years","1975-1977","Female",2
"All","00 years","1978-1980","Male and female",13
"All","00 years","1978-1980","Male",8
"All","00 years","1978-1980","Female",5
"All","00 years","1978-1980","Male and female",7
"All","00 years","1978-1980","Male",2
"All","00 years","1978-1980","Female",5
"All","00 years","1978-1980","Male and female",10
"All","00 years","1978-1980","Male",2
"All","00 years","1978-1980","Female",8
"All","00 years","1981-1983","Male and female",10
"All","00 years","1981-1983","Male",4
"All","00 years","1981-1983","Female",6
"All","00 years","1981-1983","Male and female",8
"All","00 years","1981-1983","Male",3
"All","00 years","1981-1983","Female",5
"All","00 years","1981-1983","Male and female",14
"All","00 years","1981-1983","Male",7
"All","00 years","1981-1983","Female",7
"All","00 years","1984-1986","Male and female",6
"All","00 years","1984-1986","Male",0
"All","00 years","1984-1986","Female",6
"All","00 years","1984-1986","Male and female",9
"All","00 years","1984-1986","Male",5
"All","00 years","1984-1986","Female",4
"All","00 years","1984-1986","Male and female",12
"All","00 years","1984-1986","Male",6
"All","00 years","1984-1986","Female",6
"All","00 years","1987-1989","Male and female",10
"All","00 years","1987-1989","Male",4
"All","00 years","1987-1989","Female",6
"All","00 years","1987-1989","Male and female",11
"All","00 years","1987-1989","Male",2
"All","00 years","1987-1989","Female",9
"All","00 years","1987-1989","Male and female",11
"All","00 years","1987-1989","Male",3
"All","00 years","1987-1989","Female",8
"All","00 years","1990-1992","Male and female",6
"All","00 years","1990-1992","Male",2
"All","00 years","1990-1992","Female",4
"All","00 years","1990-1992","Male and female",10
"All","00 years","1990-1992","Male",2
"All","00 years","1990-1992","Female",8
"All","00 years","1990-1992","Male and female",8
"All","00 years","1990-1992","Male",4
"All","00 years","1990-1992","Female",4
"All","00 years","1993-1995","Male and female",12
"All","00 years","1993-1995","Male",5
