Race,Age.Group,Year.of.Death,Sex,State,Count
All,00 years,1969-2019,Male and female,Arizona,27
All,00 years,1969-2019,Male and female,California,194
All,00 years,1969-2019,Male and female,Connecticut,17
All,00 years,1969-2019,Male and female,Georgia,32
All,00 years,1969-2019,Male and female,Illinois,68
All,00 years,1969-2019,Male and female,Iowa, 
All,00 years,1969-2019,Male and female,Kentucky,19
All,00 years,1969-2019,Male and female,Louisiana,23
All,00 years,1969-2019,Male and female,Massachusetts,38
All,00 years,1969-2019,Male and female,New Jersey,37
All,00 years,1969-2019,Male and female,New Mexico,21
All,00 years,1969-2019,Male and female,New York,112
All,00 years,1969-2019,Male and female,Texas,137
All,00 years,1969-2019,Male and female,Utah,19
All,00 years,1969-2019,Male and female,Washington,28
All,00 years,1969-2019,Male,Arizona,15
All,00 years,1969-2019,Male,California,90
All,00 years,1969-2019,Male,Connecticut, 
All,00 years,1969-2019,Male,Georgia,14
All,00 years,1969-2019,Male,Illinois,30
All,00 years,1969-2019,Male,Iowa, 
All,00 years,1969-2019,Male,Kentucky, 
All,00 years,1969-2019,Male,Louisiana,12
All,00 years,1969-2019,Male,Massachusetts,21
All,00 years,1969-2019,Male,New Jersey,21
All,00 years,1969-2019,Male,New Mexico,11
All,00 years,1969-2019,Male,New York,49
All,00 years,1969-2019,Male,Texas,65
All,00 years,1969-2019,Male,Utah, 
All,00 years,1969-2019,Male,Washington,16
All,00 years,1969-2019,Female,Arizona,12
All,00 years,1969-2019,Female,California,104
All,00 years,1969-2019,Female,Connecticut,11
All,00 years,1969-2019,Female,Georgia,18
All,00 years,1969-2019,Female,Illinois,38
All,00 years,1969-2019,Female,Iowa, 
All,00 years,1969-2019,Female,Kentucky,10
All,00 years,1969-2019,Female,Louisiana,11
All,00 years,1969-2019,Female,Massachusetts,17
All,00 years,1969-2019,Female,New Jersey,16
All,00 years,1969-2019,Female,New Mexico,10
All,00 years,1969-2019,Female,New York,63
All,00 years,1969-2019,Female,Texas,72
All,00 years,1969-2019,Female,Utah,10
All,00 years,1969-2019,Female,Washington,12
All,00 years,1969-1971,Male and female,Arizona, 
All,00 years,1969-1971,Male and female,California,18
All,00 years,1969-1971,Male and female,Connecticut, 
All,00 years,1969-1971,Male and female,Georgia, 
All,00 years,1969-1971,Male and female,Illinois,13
All,00 years,1969-1971,Male and female,Iowa, 
All,00 years,1969-1971,Male and female,Kentucky, 
All,00 years,1969-1971,Male and female,Louisiana, 
All,00 years,1969-1971,Male and female,Massachusetts, 
All,00 years,1969-1971,Male and female,New Jersey, 
All,00 years,1969-1971,Male and female,New Mexico, 
All,00 years,1969-1971,Male and female,New York,20
All,00 years,1969-1971,Male and female,Texas,13
All,00 years,1969-1971,Male and female,Utah, 
All,00 years,1969-1971,Male and female,Washington, 
All,00 years,1969-1971,Male,Arizona, 
All,00 years,1969-1971,Male,California, 
All,00 years,1969-1971,Male,Connecticut, 
All,00 years,1969-1971,Male,Georgia, 
All,00 years,1969-1971,Male,Illinois, 
All,00 years,1969-1971,Male,Iowa, 
All,00 years,1969-1971,Male,Kentucky, 
All,00 years,1969-1971,Male,Louisiana, 
All,00 years,1969-1971,Male,Massachusetts, 
All,00 years,1969-1971,Male,New Jersey, 
All,00 years,1969-1971,Male,New Mexico, 
All,00 years,1969-1971,Male,New York, 
All,00 years,1969-1971,Male,Texas, 
All,00 years,1969-1971,Male,Utah, 
All,00 years,1969-1971,Male,Washington, 
All,00 years,1969-1971,Female,Arizona, 
All,00 years,1969-1971,Female,California,13
All,00 years,1969-1971,Female,Connecticut, 
All,00 years,1969-1971,Female,Georgia, 
All,00 years,1969-1971,Female,Illinois, 
All,00 years,1969-1971,Female,Iowa, 
All,00 years,1969-1971,Female,Kentucky, 
All,00 years,1969-1971,Female,Louisiana, 
All,00 years,1969-1971,Female,Massachusetts, 
All,00 years,1969-1971,Female,New Jersey, 
